"Method","Endpoint","File path","Purpose","Request inputs","Response outputs","Auth required","Authorization model","Validation","Rate limiting","Errors","Security risks","Recommendations"
"QUERY","/api/trpc/pulse.masterData","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","protectedProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.seedDefaults","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.createSubmissionLink","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/pulse.listSubmissionLinks","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.revokeSubmissionLink","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.regenerateSubmissionLink","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/pulse.getSubmissionReview","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.approveSubmission","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.requestSubmissionRevision","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.rejectSubmission","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/pulse.getSubmissionByToken","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","No","publicProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Public surface requires scope controls","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.saveSubmissionDraft","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","No","publicProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Public surface requires scope controls","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.submitSubmissionFinal","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","No","publicProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Public surface requires scope controls","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/pulse.dashboard","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","protectedProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.createTrack","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.updateTrack","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.createGoal","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.updateGoal","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.linkGoalMetrics","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.createEntity","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.updateEntity","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.archiveEntity","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","adminProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/pulse.metricsForEntity","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","protectedProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.saveMetricValues","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","editorProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.updateMetricValue","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""metric:update_approved"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.archiveMetricValue","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""metric:update_approved"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/pulse.reportValues","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","protectedProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.addEvidence","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","editorProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/pulse.recordExport","server/routers/pulse.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""export:create"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/reports.list","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","protectedProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/reports.get","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","protectedProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/reports.listItems","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","protectedProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/reports.prevReportItems","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","protectedProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/reports.compare","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","protectedProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/reports.growthSeries","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","protectedProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.create","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""report:create"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.delete","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""report:delete"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.archive","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""report:archive"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.cancel","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""report:cancel"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.lock","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""report:archive"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.duplicate","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""report:create"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.saveDepartment","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""report:update"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.saveItem","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""report:update"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.reorderItems","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""report:update"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.deleteItem","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""report:update"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.seedBaseline","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""report:update"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.refreshSummary","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""report:update"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.uploadPdf","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""export:create"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.markGenerated","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""export:create"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/reports.getSheetConfig","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","protectedProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.saveSheetConfig","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""report:update"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/reports.syncFromSheet","server/routers/reports.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""report:update"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/admin.dashboard","server/routers/admin.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","protectedProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/admin.users","server/routers/admin.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""user:manage"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/admin.createUser","server/routers/admin.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""user:manage"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/admin.updateUser","server/routers/admin.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""user:manage"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/admin.settings","server/routers/admin.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","protectedProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"MUTATION","/api/trpc/admin.updateSettings","server/routers/admin.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""settings:manage"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/admin.auditLog","server/routers/admin.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","Yes","permissionProcedure(""audit:view"")","Zod where input exists","Not found in repository","TRPCError / thrown errors","Permission/object ownership must stay tested","Add API contract documentation and rate limiting"
"QUERY","/api/trpc/systemRouter.health","server/_core/systemRouter.ts","tRPC procedure","Zod/input schema or none for simple procedures","SuperJSON response","No","publicProcedure","Zod where input exists","Not found in repository","TRPCError / thrown errors","Public surface requires scope controls","Add API contract documentation and rate limiting"
