"Route/path","Page/API","Public/authenticated/admin","File path","Purpose","Data used","Auth required","Risk","Notes"
"/reports/:id/preview","Page","authenticated","client/src/App.tsx","SPA route","tRPC-backed data varies by page","Yes via DashboardLayout/auth.me and protected APIs","Medium","Route discovered from JSX"
"/submit/:token/success","Page","public","client/src/App.tsx","SPA route","tRPC-backed data varies by page","No","Medium","Route discovered from JSX"
"/submit/:token","Page","public","client/src/App.tsx","SPA route","tRPC-backed data varies by page","No","Medium","Route discovered from JSX"
"/","Page","authenticated","client/src/App.tsx","SPA route","tRPC-backed data varies by page","Yes via DashboardLayout/auth.me and protected APIs","Medium","Route discovered from JSX"
"/reports","Page","authenticated","client/src/App.tsx","SPA route","tRPC-backed data varies by page","Yes via DashboardLayout/auth.me and protected APIs","Medium","Route discovered from JSX"
"/reports/:id","Page","authenticated","client/src/App.tsx","SPA route","tRPC-backed data varies by page","Yes via DashboardLayout/auth.me and protected APIs","Medium","Route discovered from JSX"
"/history","Page","authenticated","client/src/App.tsx","SPA route","tRPC-backed data varies by page","Yes via DashboardLayout/auth.me and protected APIs","Medium","Route discovered from JSX"
"/compare","Page","authenticated","client/src/App.tsx","SPA route","tRPC-backed data varies by page","Yes via DashboardLayout/auth.me and protected APIs","Medium","Route discovered from JSX"
"/items","Page","authenticated","client/src/App.tsx","SPA route","tRPC-backed data varies by page","Yes via DashboardLayout/auth.me and protected APIs","Medium","Route discovered from JSX"
"/entities/:id","Page","authenticated","client/src/App.tsx","SPA route","tRPC-backed data varies by page","Yes via DashboardLayout/auth.me and protected APIs","Medium","Route discovered from JSX"
"/goals/:id","Page","authenticated","client/src/App.tsx","SPA route","tRPC-backed data varies by page","Yes via DashboardLayout/auth.me and protected APIs","Medium","Route discovered from JSX"
"/pulse/submission-links","Page","admin/authenticated","client/src/App.tsx","SPA route","tRPC-backed data varies by page","Yes via DashboardLayout/auth.me and protected APIs","Medium","Route discovered from JSX"
"/admin","Page","admin/authenticated","client/src/App.tsx","SPA route","tRPC-backed data varies by page","Yes via DashboardLayout/auth.me and protected APIs","Medium","Route discovered from JSX"
"/admin/:section","Page","admin/authenticated","client/src/App.tsx","SPA route","tRPC-backed data varies by page","Yes via DashboardLayout/auth.me and protected APIs","Medium","Route discovered from JSX"
"/pulse","Page","admin/authenticated","client/src/App.tsx","SPA route","tRPC-backed data varies by page","Yes via DashboardLayout/auth.me and protected APIs","Medium","Route discovered from JSX"
"/integrations","Page","authenticated","client/src/App.tsx","SPA route","tRPC-backed data varies by page","Yes via DashboardLayout/auth.me and protected APIs","Medium","Route discovered from JSX"
"/404","Page","public","client/src/App.tsx","SPA route","tRPC-backed data varies by page","No","Medium","Route discovered from JSX"
"/api/trpc/pulse.masterData","tRPC API","authenticated","server/routers/pulse.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/pulse.seedDefaults","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.createSubmissionLink","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.listSubmissionLinks","tRPC API","permission-gated","server/routers/pulse.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.revokeSubmissionLink","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.regenerateSubmissionLink","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.getSubmissionReview","tRPC API","permission-gated","server/routers/pulse.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.approveSubmission","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.requestSubmissionRevision","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.rejectSubmission","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.getSubmissionByToken","tRPC API","public","server/routers/pulse.ts","query procedure","MySQL/in-memory domain data","No","Medium","publicProcedure"
"/api/trpc/pulse.saveSubmissionDraft","tRPC API","public","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","No","Medium","publicProcedure"
"/api/trpc/pulse.submitSubmissionFinal","tRPC API","public","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","No","Medium","publicProcedure"
"/api/trpc/pulse.dashboard","tRPC API","authenticated","server/routers/pulse.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/pulse.createTrack","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.updateTrack","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.createGoal","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.updateGoal","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.linkGoalMetrics","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.createEntity","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.updateEntity","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.archiveEntity","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","adminProcedure"
"/api/trpc/pulse.metricsForEntity","tRPC API","authenticated","server/routers/pulse.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/pulse.saveMetricValues","tRPC API","authenticated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","editorProcedure"
"/api/trpc/pulse.updateMetricValue","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""metric:update_approved"")"
"/api/trpc/pulse.archiveMetricValue","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""metric:update_approved"")"
"/api/trpc/pulse.reportValues","tRPC API","authenticated","server/routers/pulse.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/pulse.addEvidence","tRPC API","authenticated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","editorProcedure"
"/api/trpc/pulse.recordExport","tRPC API","permission-gated","server/routers/pulse.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""export:create"")"
"/api/trpc/reports.list","tRPC API","authenticated","server/routers/reports.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/reports.get","tRPC API","authenticated","server/routers/reports.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/reports.listItems","tRPC API","authenticated","server/routers/reports.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/reports.prevReportItems","tRPC API","authenticated","server/routers/reports.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/reports.compare","tRPC API","authenticated","server/routers/reports.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/reports.growthSeries","tRPC API","authenticated","server/routers/reports.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/reports.create","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:create"")"
"/api/trpc/reports.delete","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:delete"")"
"/api/trpc/reports.archive","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:archive"")"
"/api/trpc/reports.cancel","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:cancel"")"
"/api/trpc/reports.lock","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:archive"")"
"/api/trpc/reports.duplicate","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:create"")"
"/api/trpc/reports.saveDepartment","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/reports.saveItem","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/reports.reorderItems","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/reports.deleteItem","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/reports.seedBaseline","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/reports.refreshSummary","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/reports.uploadPdf","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""export:create"")"
"/api/trpc/reports.markGenerated","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""export:create"")"
"/api/trpc/reports.getSheetConfig","tRPC API","authenticated","server/routers/reports.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/reports.saveSheetConfig","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/reports.syncFromSheet","tRPC API","permission-gated","server/routers/reports.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""report:update"")"
"/api/trpc/admin.dashboard","tRPC API","authenticated","server/routers/admin.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/admin.users","tRPC API","permission-gated","server/routers/admin.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""user:manage"")"
"/api/trpc/admin.createUser","tRPC API","permission-gated","server/routers/admin.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""user:manage"")"
"/api/trpc/admin.updateUser","tRPC API","permission-gated","server/routers/admin.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""user:manage"")"
"/api/trpc/admin.settings","tRPC API","authenticated","server/routers/admin.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","protectedProcedure"
"/api/trpc/admin.updateSettings","tRPC API","permission-gated","server/routers/admin.ts","mutation procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""settings:manage"")"
"/api/trpc/admin.auditLog","tRPC API","permission-gated","server/routers/admin.ts","query procedure","MySQL/in-memory domain data","Yes","Low/Medium","permissionProcedure(""audit:view"")"
"/api/trpc/systemRouter.health","tRPC API","public","server/_core/systemRouter.ts","query procedure","MySQL/in-memory domain data","No","Medium","publicProcedure"
